"","Codes","Description","unit","Periodicity","start","last value","source"
"137","1827"," Meios de pagamento - M1 (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1946"," mar/2016"," BCB-Depec"
"138","1828"," Base monet?ria ampliada - Dep?sitos compuls?rios em esp?cie (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 30/06/1994"," mar/2016"," BCB-Depec"
"139","1829"," Base monet?ria ampliada - T?tulos do Banco Central-carteira do mercado (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 30/06/1994"," mar/2016"," BCB-Depec"
"140","1830"," Base monet?ria ampliada - T?tulos do Banco Central-financiamento l?quido (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 30/06/1994"," mar/2016"," BCB-Depec"
"141","1831"," Base monet?ria ampliada - T?tulos do Tesouro Nacional-carteira do mercado/Selic (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1994"," mar/2016"," BCB-Depec"
"142","1832"," Base monet?ria ampliada - T?tulos do Tesouro Nacional-financiamento l?quido/Selic (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1994"," mar/2016"," BCB-Depec"
"143","1833"," Base Monet?ria Ampliada (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1994"," mar/2016"," BCB-Depec"
"144","1834"," Meios de pagamento amplos - Dep?sito Especial Remunerado"," u.m.c. (mil)"," M"," 31/08/1991"," mai/1996"," BCB-Depec"
"145","1835"," Meios de pagamento amplos - Dep?sito de Poupan?a (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"146","1836"," Meios de pagamento amplos - T?tulos Privados em Poder do P?blico (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"147","1837"," Meios de pagamento amplos - M2 (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"148","1838"," Meios de pagamento amplos - Quotas de fundos de renda fixa (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"149","1839"," Meios de pagamento amplos - Opera??es compromissadas/Selic (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"150","1840"," Meios de pagamento amplos - M3 (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"151","1841"," Meios de pagamento amplos - T?tulos federais em poder do p?blico/Selic (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"152","1842"," Meios de pagamento amplos - T?tulos estaduais e municipais em poder do p?blico (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"153","1843"," Meios de pagamento amplos - M4 (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/07/1988"," mar/2016"," BCB-Depec"
"154","1844"," Meios de pagamento amplos - Valores ? ordem do Banco Central (VOB)"," u.m.c. (mil)"," M"," 31/03/1990"," jun/1992"," BCB-Depec"
